StockPrice,Gamma
0.000000000000000000e+00,1.084659229427872044e-20
3.000000000000000000e+00,1.110008030896092192e-20
6.000000000000000000e+00,1.974633273872704982e-18
9.000000000000000000e+00,1.704071963909337025e-16
1.200000000000000000e+01,8.501116497983549465e-15
1.500000000000000000e+01,2.715975185652410064e-13
1.800000000000000000e+01,5.948214890513384388e-12
2.100000000000000000e+01,9.379402531268946805e-11
2.400000000000000000e+01,1.105647351291404490e-09
2.700000000000000000e+01,1.004190645883949586e-08
3.000000000000000000e+01,7.206250670648139162e-08
3.300000000000000000e+01,4.175611053218909162e-07
3.600000000000000000e+01,1.991522301787381304e-06
3.900000000000000000e+01,7.954840773570857052e-06
4.200000000000000000e+01,2.703663005519923985e-05
4.500000000000000000e+01,7.934462120496181049e-05
4.800000000000000000e+01,2.038135821808477282e-04
5.100000000000000000e+01,4.640623734711512519e-04
5.400000000000000000e+01,9.475665979336843911e-04
5.700000000000000000e+01,1.753840246342765197e-03
6.000000000000000000e+01,2.971504176505003134e-03
6.300000000000000000e+01,4.649879398177148362e-03
6.600000000000000000e+01,6.774686712670242514e-03
6.900000000000000000e+01,9.257059336302006849e-03
7.200000000000000000e+01,1.194050143078217302e-02
7.500000000000000000e+01,1.462408801666736924e-02
7.800000000000000000e+01,1.709509429247521931e-02
8.100000000000000000e+01,1.916222537369573209e-02
8.400000000000000000e+01,2.068180378746387049e-02
8.700000000000000000e+01,2.157248123290643471e-02
9.000000000000000000e+01,2.181770034098064193e-02
9.300000000000000000e+01,2.145801689957751654e-02
9.600000000000000000e+01,2.057694053415697749e-02
9.900000000000000000e+01,1.928419865878478606e-02
1.020000000000000000e+02,1.769966220278935271e-02
1.050000000000000000e+02,1.594007273895689872e-02
1.080000000000000000e+02,1.410957912366386444e-02
1.110000000000000000e+02,1.229417497408707288e-02
1.140000000000000000e+02,1.055952465251211100e-02
1.170000000000000000e+02,8.951365965324321536e-03
1.200000000000000000e+02,7.497615719261811577e-03
1.230000000000000000e+02,6.211395236813170399e-03
1.260000000000000000e+02,5.094360319689646317e-03
1.290000000000000000e+02,4.139906791984060419e-03
1.320000000000000000e+02,3.335992915708629880e-03
1.350000000000000000e+02,2.667456090132228844e-03
1.380000000000000000e+02,2.117798703189855899e-03
1.410000000000000000e+02,1.670479970773581201e-03
1.440000000000000000e+02,1.309783978701122877e-03
1.470000000000000000e+02,1.021346767442328886e-03
1.500000000000000000e+02,7.924243552418867029e-04
1.530000000000000000e+02,6.119748624489792501e-04
1.560000000000000000e+02,4.706156022512194008e-04
1.590000000000000000e+02,3.605029424988970277e-04
1.620000000000000000e+02,2.751705848598678212e-04
1.650000000000000000e+02,2.093514906944291356e-04
1.680000000000000000e+02,1.588002858738946088e-04
1.710000000000000000e+02,1.201265469872067984e-04
1.740000000000000000e+02,9.064467395268770611e-05
1.770000000000000000e+02,6.824278274722119430e-05
1.800000000000000000e+02,5.127090060360236368e-05
1.830000000000000000e+02,3.844742353149083658e-05
1.860000000000000000e+02,2.878207336228418361e-05
1.890000000000000000e+02,2.151327544671251607e-05
1.920000000000000000e+02,1.605782686750798172e-05
1.950000000000000000e+02,1.197083255830319837e-05
1.980000000000000000e+02,8.914082695494269487e-06
2.010000000000000000e+02,6.631276740954996030e-06
2.040000000000000000e+02,4.928737714256688398e-06
2.070000000000000000e+02,3.660486926706754282e-06
2.100000000000000000e+02,2.716752397368004036e-06
2.130000000000000000e+02,2.015161649006181964e-06
2.160000000000000000e+02,1.494019408533454683e-06
2.190000000000000000e+02,1.107196238889527187e-06
2.220000000000000000e+02,8.202534394917570318e-07
2.250000000000000000e+02,6.075158928019341112e-07
2.280000000000000000e+02,4.498651549056376098e-07
2.310000000000000000e+02,3.330805687558798253e-07
2.340000000000000000e+02,2.465947248866642658e-07
2.370000000000000000e+02,1.825616082997941012e-07
2.400000000000000000e+02,1.351600360521842958e-07
2.430000000000000000e+02,1.000738620859920047e-07
2.460000000000000000e+02,7.410457669720926788e-08
2.490000000000000000e+02,5.488296829349160793e-08
2.520000000000000000e+02,4.065485844269763744e-08
2.550000000000000000e+02,3.012159923956561169e-08
2.580000000000000000e+02,2.232225900418901085e-08
2.610000000000000000e+02,1.654574551442540917e-08
2.640000000000000000e+02,1.226582134626773518e-08
2.670000000000000000e+02,9.093140660196594296e-09
2.700000000000000000e+02,6.739561008038839958e-09
2.730000000000000000e+02,4.991714301164999570e-09
2.760000000000000000e+02,3.691591624980598240e-09
2.790000000000000000e+02,2.721969217923793309e-09
2.820000000000000000e+02,1.995848227428117284e-09
2.850000000000000000e+02,1.448512421120540239e-09
2.880000000000000000e+02,1.031550153937941026e-09
2.910000000000000000e+02,7.085942696802602897e-10
2.940000000000000000e+02,4.522083448440146771e-10
2.970000000000000000e+02,2.411803102909794169e-10
3.000000000000000000e+02,2.380476063182059860e-10
