StockPrice,Delta
0.000000000000000000e+00,6.015750143105585162e-23
3.000000000000000000e+00,1.671175936527315678e-20
6.000000000000000000e+00,2.995311790637771447e-18
9.000000000000000000e+00,2.615680562878474097e-16
1.200000000000000000e+01,1.326885359784957108e-14
1.500000000000000000e+01,4.334168061926863993e-13
1.800000000000000000e+01,9.763135419810626006e-12
2.100000000000000000e+01,1.593764957246148913e-10
2.400000000000000000e+01,1.958538560630755758e-09
2.700000000000000000e+01,1.867986927582710463e-08
3.000000000000000000e+01,1.418364890238084557e-07
3.300000000000000000e+01,8.762719070663669703e-07
3.600000000000000000e+01,4.489897017730275036e-06
3.900000000000000000e+01,1.940944163076763088e-05
4.200000000000000000e+01,7.189664787392276775e-05
4.500000000000000000e+01,2.314685247641643602e-04
4.800000000000000000e+01,6.562058298428787495e-04
5.100000000000000000e+01,1.658019763320877152e-03
5.400000000000000000e+01,3.775463220428130345e-03
5.700000000000000000e+01,7.827573486842804781e-03
6.000000000000000000e+01,1.491559012111445641e-02
6.300000000000000000e+01,2.634766548313768539e-02
6.600000000000000000e+01,4.348451464940877170e-02
6.900000000000000000e+01,6.753213372286714922e-02
7.200000000000000000e+01,9.932847487349343030e-02
7.500000000000000000e+01,1.391753590446677402e-01
7.800000000000000000e+01,1.867541325083816039e-01
8.100000000000000000e+01,2.411401120076380467e-01
8.400000000000000000e+01,3.009061557493774575e-01
8.700000000000000000e+01,3.642875832799328806e-01
9.000000000000000000e+01,4.293728556407634955e-01
9.300000000000000000e+01,4.942864315016007315e-01
9.600000000000000000e+01,5.573388676522025298e-01
9.900000000000000000e+01,6.171305764416151751e-01
1.020000000000000000e+02,6.726063677339763069e-01
1.050000000000000000e+02,7.230659701465956823e-01
1.080000000000000000e+02,7.681404479405268271e-01
1.110000000000000000e+02,8.077460790871532348e-01
1.140000000000000000e+02,8.420266285270520124e-01
1.170000000000000000e+02,8.712929644538066620e-01
1.200000000000000000e+02,8.959664369806858986e-01
1.230000000000000000e+02,9.165299534147983707e-01
1.260000000000000000e+02,9.334885867495525957e-01
1.290000000000000000e+02,9.473399874170631563e-01
1.320000000000000000e+02,9.585538369786021917e-01
1.350000000000000000e+02,9.675590104873634800e-01
1.380000000000000000e+02,9.747368926773466447e-01
1.410000000000000000e+02,9.804193106882918007e-01
1.440000000000000000e+02,9.848897066125038569e-01
1.470000000000000000e+02,9.883864027317189604e-01
1.500000000000000000e+02,9.911070594157452840e-01
1.530000000000000000e+02,9.932136582422815829e-01
1.560000000000000000e+02,9.948375439393318809e-01
1.590000000000000000e+02,9.960842217564570555e-01
1.620000000000000000e+02,9.970377320474952398e-01
1.650000000000000000e+02,9.977645151608266483e-01
1.680000000000000000e+02,9.983167428256791709e-01
1.710000000000000000e+02,9.987351330749708600e-01
1.740000000000000000e+02,9.990512899063807017e-01
1.770000000000000000e+02,9.992896210914304911e-01
1.800000000000000000e+02,9.994688916164568004e-01
1.830000000000000000e+02,9.996034691026594032e-01
1.860000000000000000e+02,9.997043133480000288e-01
1.890000000000000000e+02,9.997797563712135238e-01
1.920000000000000000e+02,9.998361130246848916e-01
1.950000000000000000e+02,9.998781560138235713e-01
1.980000000000000000e+02,9.999094833867042675e-01
2.010000000000000000e+02,9.999328014258589414e-01
2.040000000000000000e+02,9.999501414475417960e-01
2.070000000000000000e+02,9.999630252845032041e-01
2.100000000000000000e+02,9.999725911434893533e-01
2.130000000000000000e+02,9.999796890145589146e-01
2.160000000000000000e+02,9.999849527861451870e-01
2.190000000000000000e+02,9.999888546096163955e-01
2.220000000000000000e+02,9.999917457841339674e-01
2.250000000000000000e+02,9.999938874381323339e-01
2.280000000000000000e+02,9.999954735097039693e-01
2.310000000000000000e+02,9.999966479282894616e-01
2.340000000000000000e+02,9.999975174412298884e-01
2.370000000000000000e+02,9.999981611757297051e-01
2.400000000000000000e+02,9.999986377581961960e-01
2.430000000000000000e+02,9.999989906090434033e-01
2.460000000000000000e+02,9.999992518767015781e-01
2.490000000000000000e+02,9.999994453580191012e-01
2.520000000000000000e+02,9.999995886647591314e-01
2.550000000000000000e+02,9.999996948294457288e-01
2.580000000000000000e+02,9.999997734952330575e-01
2.610000000000000000e+02,9.999998317972398354e-01
2.640000000000000000e+02,9.999998750145900894e-01
2.670000000000000000e+02,9.999999070530330991e-01
2.700000000000000000e+02,9.999999308020856015e-01
2.730000000000000000e+02,9.999999483989986393e-01
2.760000000000000000e+02,9.999999614239575285e-01
2.790000000000000000e+02,9.999999710442987189e-01
2.820000000000000000e+02,9.999999781210249239e-01
2.850000000000000000e+02,9.999999832875658967e-01
2.880000000000000000e+02,9.999999870076597963e-01
2.910000000000000000e+02,9.999999896178763947e-01
2.940000000000000000e+02,9.999999913590803535e-01
2.970000000000000000e+02,9.999999923991632622e-01
3.000000000000000000e+02,9.999999928644646152e-01
