StockPrice,Gamma
0.000000000000000000e+00,1.098846445933708700e-10
3.000000000000000000e+00,1.099888575279490137e-10
6.000000000000000000e+00,1.342136278657966995e-12
9.000000000000000000e+00,-1.002654749350363618e-12
1.200000000000000000e+01,5.558023177501228569e-13
1.500000000000000000e+01,1.567930970243954343e-12
1.800000000000000000e+01,4.697476975302884383e-12
2.100000000000000000e+01,9.345847552645460122e-11
2.400000000000000000e+01,1.105778185067012757e-09
2.700000000000000000e+01,1.004166152698518209e-08
3.000000000000000000e+01,7.206238213560330085e-08
3.300000000000000000e+01,4.175614141862145643e-07
3.600000000000000000e+01,1.991522317723593005e-06
3.900000000000000000e+01,7.954841009115574735e-06
4.200000000000000000e+01,2.703662993357941002e-05
4.500000000000000000e+01,7.934462129810526676e-05
4.800000000000000000e+01,2.038135820707035752e-04
5.100000000000000000e+01,4.640623734444046891e-04
5.400000000000000000e+01,9.475665979500212579e-04
5.700000000000000000e+01,1.753840246392554796e-03
6.000000000000000000e+01,2.971504176476476907e-03
6.300000000000000000e+01,4.649879398178156237e-03
6.600000000000000000e+01,6.774686712654600512e-03
6.900000000000000000e+01,9.257059336267303706e-03
7.200000000000000000e+01,1.194050143077242214e-02
7.500000000000000000e+01,1.462408801665896797e-02
7.800000000000000000e+01,1.709509429249283369e-02
8.100000000000000000e+01,1.916222537368226023e-02
8.400000000000000000e+01,2.068180378746357559e-02
8.700000000000000000e+01,2.157248123290934905e-02
9.000000000000000000e+01,2.181770034098404545e-02
9.300000000000000000e+01,2.145801689958067374e-02
9.600000000000000000e+01,2.057694053415658197e-02
9.900000000000000000e+01,1.928419865878626405e-02
1.020000000000000000e+02,1.769966220279675304e-02
1.050000000000000000e+02,1.594007273895561502e-02
1.080000000000000000e+02,1.410957912365513184e-02
1.110000000000000000e+02,1.229417497409230481e-02
1.140000000000000000e+02,1.055952465252637217e-02
1.170000000000000000e+02,8.951365965321138318e-03
1.200000000000000000e+02,7.497615719274887056e-03
1.230000000000000000e+02,6.211395236828787247e-03
1.260000000000000000e+02,5.094360319684194081e-03
1.290000000000000000e+02,4.139906791989426786e-03
1.320000000000000000e+02,3.335992915705743300e-03
1.350000000000000000e+02,2.667456090143152398e-03
1.380000000000000000e+02,2.117798703188178422e-03
1.410000000000000000e+02,1.670479970764076651e-03
1.440000000000000000e+02,1.309783978683883411e-03
1.470000000000000000e+02,1.021346767444799132e-03
1.500000000000000000e+02,7.924243552620233730e-04
1.530000000000000000e+02,6.119748624425506902e-04
1.560000000000000000e+02,4.706156022338783460e-04
1.590000000000000000e+02,3.605029424810039513e-04
1.620000000000000000e+02,2.751705848640519743e-04
1.650000000000000000e+02,2.093514907024867364e-04
1.680000000000000000e+02,1.588002858663628190e-04
1.710000000000000000e+02,1.201265470303061929e-04
1.740000000000000000e+02,9.064467397705304930e-05
1.770000000000000000e+02,6.824278275416529238e-05
1.800000000000000000e+02,5.127090062243548396e-05
1.830000000000000000e+02,3.844742356443121606e-05
1.860000000000000000e+02,2.878207338598624240e-05
1.890000000000000000e+02,2.151327549355631458e-05
1.920000000000000000e+02,1.605782692668118164e-05
1.950000000000000000e+02,1.197083260537920926e-05
1.980000000000000000e+02,8.914082741387029565e-06
2.010000000000000000e+02,6.631276782412296879e-06
2.040000000000000000e+02,4.928737772991594511e-06
2.070000000000000000e+02,3.660487012093686758e-06
2.100000000000000000e+02,2.716752494295419065e-06
2.130000000000000000e+02,2.015161721633006511e-06
2.160000000000000000e+02,1.494019548569290402e-06
2.190000000000000000e+02,1.107196345643108856e-06
2.220000000000000000e+02,8.202535875170890419e-07
2.250000000000000000e+02,6.075160586244658526e-07
2.280000000000000000e+02,4.498653145359150850e-07
2.310000000000000000e+02,3.330807221499815173e-07
2.340000000000000000e+02,2.465948896187860361e-07
2.370000000000000000e+02,1.825617908838938323e-07
2.400000000000000000e+02,1.351602376437745141e-07
2.430000000000000000e+02,1.000740736766727179e-07
2.460000000000000000e+02,7.410479425190523743e-08
2.490000000000000000e+02,5.488321213882150417e-08
2.520000000000000000e+02,4.065508146943980591e-08
2.550000000000000000e+02,3.012186348522569846e-08
2.580000000000000000e+02,2.232255064267984595e-08
2.610000000000000000e+02,1.654602642821469713e-08
2.640000000000000000e+02,1.226611121735041891e-08
2.670000000000000000e+02,9.093446743138512069e-09
2.700000000000000000e+02,6.739868689995097267e-09
2.730000000000000000e+02,4.992034219841644500e-09
2.760000000000000000e+02,3.691903900950805280e-09
2.790000000000000000e+02,2.722297222497314126e-09
2.820000000000000000e+02,1.996201552803275258e-09
2.850000000000000000e+02,1.448856491214646877e-09
2.880000000000000000e+02,1.031889362881855361e-09
2.910000000000000000e+02,7.089657490710875179e-10
2.940000000000000000e+02,4.525583210613814987e-10
2.970000000000000000e+02,2.415404334954612424e-10
3.000000000000000000e+02,2.384068252020289156e-10
