StockPrice,Theta
0.000000000000000000e+00,4.756384935804978120e+00
3.000000000000000000e+00,4.756147122459024601e+00
6.000000000000000000e+00,4.756147122452505371e+00
9.000000000000000000e+00,4.756147122455168130e+00
1.200000000000000000e+01,4.756147122452120790e+00
1.500000000000000000e+01,4.756147122444400743e+00
1.800000000000000000e+01,4.756147122412911266e+00
2.100000000000000000e+01,4.756147121465509109e+00
2.400000000000000000e+01,4.756147107413649877e+00
2.700000000000000000e+01,4.756146951420024749e+00
3.000000000000000000e+01,4.756145618229846050e+00
3.300000000000000000e+01,4.756136625260266371e+00
3.600000000000000000e+01,4.756087688914635514e+00
3.900000000000000000e+01,4.755868677889404594e+00
4.200000000000000000e+01,4.755048378554603161e+00
4.500000000000000000e+01,4.752435820214913953e+00
4.800000000000000000e+01,4.745256030523334445e+00
5.100000000000000000e+01,4.727998468244694941e+00
5.400000000000000000e+01,4.691264225618704486e+00
5.700000000000000000e+01,4.621226458625535827e+00
6.000000000000000000e+01,4.500373261282344828e+00
6.300000000000000000e+01,4.309871686410733815e+00
6.600000000000000000e+01,4.033263027247617316e+00
6.900000000000000000e+01,3.660576562361891106e+00
7.200000000000000000e+01,3.191658574227424161e+00
7.500000000000000000e+01,2.637700657875897470e+00
7.800000000000000000e+01,2.020512689534713857e+00
8.100000000000000000e+01,1.369759728754450956e+00
8.400000000000000000e+01,7.189049087960374118e-01
8.700000000000000000e+01,1.008230463393272602e-01
9.000000000000000000e+01,-4.560321172086470032e-01
9.300000000000000000e+01,-9.303115704349143034e-01
9.600000000000000000e+01,-1.309069126121692239e+00
9.900000000000000000e+01,-1.587755214848649121e+00
1.020000000000000000e+02,-1.769199895804197009e+00
1.050000000000000000e+02,-1.861970712256632243e+00
1.080000000000000000e+02,-1.878482955004070476e+00
1.110000000000000000e+02,-1.833167531714552156e+00
1.140000000000000000e+02,-1.740901524721800042e+00
1.170000000000000000e+02,-1.615807023147559640e+00
1.200000000000000000e+02,-1.470442154132273194e+00
1.230000000000000000e+02,-1.315351460273979534e+00
1.260000000000000000e+02,-1.158910604301211622e+00
1.290000000000000000e+02,-1.007388397338520702e+00
1.320000000000000000e+02,-8.651513581717216184e-01
1.350000000000000000e+02,-7.349466145419494278e-01
1.380000000000000000e+02,-6.182132492457806938e-01
1.410000000000000000e+02,-5.153868674195073440e-01
1.440000000000000000e+02,-4.261752257446913550e-01
1.470000000000000000e+02,-3.497932751400694151e-01
1.500000000000000000e+02,-2.851537111614632636e-01
1.530000000000000000e+02,-2.310143279351321299e-01
1.560000000000000000e+02,-1.860865768487166561e-01
1.590000000000000000e+02,-1.491112488419109872e-01
1.620000000000000000e+02,-1.189076078432935724e-01
1.650000000000000000e+02,-9.440200525089549599e-02
1.680000000000000000e+02,-7.464131222859539394e-02
1.710000000000000000e+02,-5.879564066459441046e-02
1.740000000000000000e+02,-4.615393237798012804e-02
1.770000000000000000e+02,-3.611516814596194003e-02
1.800000000000000000e+02,-2.817722903065966733e-02
1.830000000000000000e+02,-2.192484882913091002e-02
1.860000000000000000e+02,-1.701762650353409734e-02
1.890000000000000000e+02,-1.317870916826466461e-02
1.920000000000000000e+02,-1.018449291452703381e-02
1.950000000000000000e+02,-7.855502609012300977e-03
1.980000000000000000e+02,-6.048485964051422172e-03
2.010000000000000000e+02,-4.649676860113927286e-03
2.040000000000000000e+02,-3.569135803027143235e-03
2.070000000000000000e+02,-2.736051688224352702e-03
2.100000000000000000e+02,-2.094881141216771610e-03
2.130000000000000000e+02,-1.602203944511809870e-03
2.160000000000000000e+02,-1.224181347887338478e-03
2.190000000000000000e+02,-9.345155220581554062e-04
2.220000000000000000e+02,-7.128211217435644325e-04
2.250000000000000000e+02,-5.433326306784391551e-04
2.280000000000000000e+02,-4.138831219057197662e-04
2.310000000000000000e+02,-3.151008803717353802e-04
2.340000000000000000e+02,-2.397798314222151150e-04
2.370000000000000000e+02,-1.823878766918096976e-04
2.400000000000000000e+02,-1.386841259248384572e-04
2.430000000000000000e+02,-1.054217459602324738e-04
2.460000000000000000e+02,-8.011786445522646894e-05
2.490000000000000000e+02,-6.087580803328210581e-05
2.520000000000000000e+02,-4.624805821607166098e-05
2.550000000000000000e+02,-3.513079748482893753e-05
2.580000000000000000e+02,-2.668290123597053234e-05
2.610000000000000000e+02,-2.026380316498013645e-05
2.640000000000000000e+02,-1.538590105617680453e-05
2.670000000000000000e+02,-1.167814307865462077e-05
2.700000000000000000e+02,-8.858195743239192436e-06
2.730000000000000000e+02,-6.711187802261558498e-06
2.760000000000000000e+02,-5.073485177427509087e-06
2.790000000000000000e+02,-3.820308988309644405e-06
2.820000000000000000e+02,-2.856284604306474866e-06
2.850000000000000000e+02,-2.108222298923617205e-06
2.880000000000000000e+02,-1.519593672980837203e-06
2.910000000000000000e+02,-1.046293606336884417e-06
2.940000000000000000e+02,-6.533737436332205551e-07
2.970000000000000000e+02,-3.125071489475267506e-07
3.000000000000000000e+02,-3.224517170570034779e-07
